ID,latitude,longitude,State,Median.electricity.bill.by.State,Habitual.electricity.bill.by.State,O,C,E,A,N,Exploratory.Tasks,Challenges,Social.Competition,Social.Network,Unlockable.Content
5799,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.7,0.6,0.68,0.6,0.78,Yes,No,No,No,Yes
5800,17.88,-91.47, Tabasco,250,148.75-420.5 $ MXN,0.82,0.74,0.64,0.72,0.6,Yes,Yes,No,Yes,No
5801,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.68,0.82,0.8,0.52,Yes,No,Yes,Yes,No
5802,21.03,-104.37, Nayarit,152,98-260 $ MXN,0.64,0.6,0.64,0.68,0.8,No,No,No,No,Yes
5803,17.88,-91.47, Tabasco,250,148.75-420.5 $ MXN,0.76,0.58,0.66,0.7,0.58,Yes,No,No,Yes,No
5804,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.84,0.42,0.44,0.8,0.8,Yes,No,No,Yes,Yes
5805,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.92,0.58,0.54,0.86,0.6,Yes,No,No,Yes,No
5806,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.58,0.52,0.72,0.8,Yes,No,No,Yes,Yes
5807,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.5,0.6,0.74,0.68,0.62,No,No,Yes,No,No
5808,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.58,0.6,0.72,0.52,Yes,No,No,Yes,No
5809,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.66,0.44,0.6,0.78,0.84,No,No,No,Yes,Yes
5810,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.98,0.42,0.72,0.48,Yes,Yes,No,Yes,No
5811,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.94,0.66,0.64,0.78,0.7,Yes,No,No,Yes,Yes
5812,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.66,0.74,0.36,0.52,0.48,No,Yes,No,No,No
5813,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.7,0.56,0.68,0.8,Yes,Yes,No,No,Yes
5815,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.58,0.62,0.84,0.66,Yes,No,No,Yes,No
5816,19.56,-99.26, Estado de Mexico,143,63.5-249.5 $ MXN,0.8,0.64,0.56,0.78,0.56,Yes,No,No,Yes,No
5817,21.13,-101.67, Guanajuato,175,126.25-250 $ MXN,0.68,0.78,0.48,0.64,0.58,No,Yes,No,No,No
5818,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.58,0.78,0.68,0.42,Yes,No,Yes,No,No
5819,19.68,-100.57, Michoacan,90,55-150 $ MXN,0.8,0.76,0.44,0.62,0.78,Yes,Yes,No,No,Yes
5820,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.5,0.48,0.42,0.58,0.74,No,No,No,No,Yes
5821,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.54,0.42,0.62,0.72,Yes,No,No,No,Yes
5822,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.74,0.64,0.54,0.76,0.58,Yes,No,No,Yes,No
5823,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.98,0.62,0.8,0.86,0.88,Yes,No,Yes,Yes,Yes
5824,19.4,-99.16, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.46,0.66,0.82,0.66,Yes,No,No,Yes,No
5825,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.92,0.68,0.86,0.72,0.48,Yes,No,Yes,Yes,No
5826,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.54,0.48,0.96,0.86,Yes,No,No,Yes,Yes
5827,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.66,0.44,0.64,0.66,Yes,No,No,No,No
5828,22.15,-100.98,San Luis Potosi,178,150-261.5 $ MXN,0.84,0.48,0.86,0.74,0.6,Yes,No,Yes,Yes,No
5829,19.37,-99.2, Ciudad de Mexico,150,92.5-215 $ MXN,0.66,0.72,0.58,0.54,0.64,No,Yes,No,No,No
5830,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.88,0.6,0.54,0.7,0.66,Yes,No,No,Yes,No
5831,32.53,-117.02, Baja California,267,197.5-400 $ MXN,0.78,0.72,0.74,0.52,0.7,Yes,Yes,Yes,No,Yes
5832,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.88,0.38,0.86,0.76,0.54,Yes,No,Yes,Yes,No
5833,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.66,0.56,0.62,0.58,0.96,No,No,No,No,Yes
5834,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.7,0.58,0.6,0.5,0.82,Yes,No,No,No,Yes
5835,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.64,0.68,0.68,0.74,Yes,No,No,No,Yes
5836,21.13,-101.67, Guanajuato,175,126.25-250 $ MXN,0.68,0.58,0.58,0.7,0.68,No,No,No,Yes,No
5837,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.86,0.78,0.7,0.96,0.66,Yes,Yes,Yes,Yes,No
5838,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.54,0.4,0.7,0.88,Yes,No,No,Yes,Yes
5839,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.48,0.96,0.78,0.66,Yes,No,Yes,Yes,No
5840,17.88,-91.47, Tabasco,250,148.75-420.5 $ MXN,0.86,0.46,0.48,0.52,0.72,Yes,No,No,No,Yes
5841,32.53,-117.02, Baja California,267,197.5-400 $ MXN,0.96,0.58,0.9,0.88,0.56,Yes,No,Yes,Yes,No
5843,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.58,0.62,0.3,0.62,0.8,No,No,No,No,Yes
5844,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.7,0.54,0.58,0.8,Yes,Yes,No,No,Yes
